statement,source,link,veracity,text,class
"Says a progressive income tax proposal from Democratic governor candidate J.B. Pritzker ""is wholly regressive.""",Evelyn Sanguinetti,/web/20180705082623/https://www.politifact.com/illinois/statements/2018/jul/02/evelyn-sanguinetti/illinois-lite-guv-calls-progressive-tax-idea-regre/,False,say progressive income tax proposal democratic governor candidate j b pritzker wholly regressive ,0
"Says Wisconsin ""hadn’t been won by a Republican since Dwight D. Eisenhower, in 1952. And I won Wisconsin. …  Ronald Reagan, remember, Wisconsin was the state that Ronald Reagan did not win.""",Donald Trump,/web/20180705082623/https://www.politifact.com/wisconsin/statements/2018/jun/29/donald-trump/president-trump-makes-some-interesting-claims-abou/,Pants on Fire!,say wisconsin win republican dwight d eisenhower 1952 win wisconsin …   ronald reagan remember wisconsin state ronald reagan win ,0
"""Maxine Waters Is Getting Criminally Charged!""",Bloggers,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jun/29/blog-posting/loomer-maxine-waters-not-facing-criminal-charges/,False, maxine water getting criminally charge ,0
"Says Ron DeSantis ""voted in an agricultural bill to give food stamps to illegal immigrants.""",Adam Putnam,/web/20180705082623/https://www.politifact.com/florida/statements/2018/jun/29/adam-putnam/putnam-parrots-previous-absurd-claim-food-stamps-i/,Pants on Fire!,say ron desantis vote agricultural bill food stamp illegal immigrant ,0
"Says Adam Putnam ""endorsed the Schumer-Obama Gang of Eight immigration amnesty.""",Ron DeSantis,/web/20180705082623/https://www.politifact.com/florida/statements/2018/jun/29/ron-desantis/did-adam-putnam-endorse-gang-eight-immigration-amn/,Mostly True,say adam putnam endorse schumer obama gang immigration amnesty ,1
"""There isn't a system"" for reuniting families separated under Trump’s zero tolerance border policy.",Rachel Maddow,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jun/29/rachel-maddow/rachel-maddow-right-there-was-no-plan-reuniting-fa/,True, isn t system reunite family separate trump zero   tolerance border policy,1
"Say ""Dunkin' Donuts is providing a free Ḍozen Doughnut Box to everyone! to celebrate 68th Anniversary!""",Bloggers,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jun/29/blog-posting/free-dunkin-donuts-online-offer-scam/,Pants on Fire!, dunkin donut provide free ḍozen doughnut box celebrate 68th anniversary ,0
"""Burka clad woman runs over baby, gets away with crime for one stunning reason ...""",Bloggers,/web/20180701030417/http://www.politifact.com/ohio/statements/2018/jun/26/blog-posting/blog-site-wrongly-claims-muslim-woman-escaped-puni/,False, burka clothe woman run baby get away crime stunning reason ,0
"""NASA announced that it communicated with four races of aliens.""",Bloggers,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/25/blog-posting/no-nasa-has-not-communicated-aliens/,Pants on Fire!, nasa announce communicate race alien ,0
"""Mexico’s Next President Calls for An Invasion Of The US""",Bloggers,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/25/blog-posting/mexico-presidential-candidate-call-immigration/,Pants on Fire!, mexico president call invasion,0
"""Migrant mother and ‘crying girl’ on Time cover never separated.""",The Gateway Pundit,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/25/gateway-pundit/immigrant-girl-time-cover-wasnt-separated-mother/,True, migrant mother ' cry girl ' time cover separate ,1
"Says Republican gubernatorial candidate Adam Laxalt ""tried to cut a deal with big pharma"" in a lawsuit.",AFSCME,/web/20180701030417/http://www.politifact.com/truth-o-meter/statements/2018/jun/25/afscme/ad-falsely-accuses-nevadas-gop-governor-candidate-/,False,say republican gubernatorial candidate adam laxalt try cut deal big pharma lawsuit,0
"""Obama administration kept illegal Mexican kids in detention camps as ‘experiment’""",Bloggers,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/25/blog-posting/did-obama-detain-illegal-mexican-children-experime/,Mostly False, obama administration keep illegal mexican kid detention camp ' experiment ',0
"""Fact: Over 90,000 kids were detained under Obama. And no one cared.""",Brad Parscale,/web/20180701030417/http://www.politifact.com/truth-o-meter/statements/2018/jun/25/brad-parscale/tyes-immigrant-children-detained-under-obama-they-/,Mostly False, fact 90 000 kid detain obama care ,0
"""$1 billion—that’s how much Bruce Rauner has wasted with his budget crisis.""",JB Pritzker,/web/20180701030417/http://www.politifact.com/illinois/statements/2018/jun/25/jb-pritzker/did-rauner-really-pour-1-billion-down-drain/,Mostly False, 1 billion — bruce rauner waste budget crisis ,0
"Says Donald Trump's executive order ""doesn't address the over 2,000 children who are already separated from their parents, and it doesn't change the fact that we would be jailing children with their families.""",Tammy Baldwin,/web/20180701030417/http://www.politifact.com/wisconsin/statements/2018/jun/22/tammy-baldwin/trumps-executive-order-doesnt-address-2000-separat/,Mostly True,say donald trump s executive order doesn t address 2 000 child separate parent doesn t change fact jail child family ,1
"A Chinese proverb says, ""Those who say it can not be done, should not interrupt those doing it.""",Ivanka Trump,/web/20180701030417/http://www.politifact.com/truth-o-meter/statements/2018/jun/22/ivanka-trump/no-evidence-link-ivanka-trump-quote-chinese-prover/,False,chinese proverb say interrupt ,0
"""Since taking office, we have enacted more than $8 billion in cumulative tax relief.""",Scott Walker,/web/20180701030417/http://www.politifact.com/wisconsin/statements/2018/jun/22/scott-walker/scott-walkers-big-re-election-tax-cut-tout-8-billi/,True, take office enact 8 billion cumulative tax relief ,1
"""Bill Clinton passed a law in 1996 that separated children from adults illegally entering America.""",Bloggers,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/21/blog-posting/no-bill-clinton-law-separating-families/,False, bill clinton pass law 1996 separate child adult illegally enter america ,0
"""Busted: Obama is holding secret meetings to overtake the White House""",Bloggers,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/21/blog-posting/-website-falsely-claims-obama-was-bust/,Mostly False, bust obama hold secret meeting overtake white house,0
"""There's been a 1,700 percent increase in asylum claims over the last 10 years.""",Donald Trump,/web/20180701030417/http://www.politifact.com/truth-o-meter/statements/2018/jun/21/donald-trump/1700-percent-increase-asylum-claims/,Mostly True, s 1 700 percent increase asylum claim 10 year ,1
"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",Troy LaRaviere,/web/20180701030417/http://www.politifact.com/illinois/statements/2018/jun/21/troy-laraviere/cps-most-understaffed-district-illinois/,True, emanuel cp understaffed school district illinois ,1
Says May 2018 marked the 401st straight month of global temperatures exceeding the 20th century average.,Jim Spencer,/web/20180701030417/http://www.politifact.com/texas/statements/2018/jun/20/jim-spencer/jim-spencer-may-2018-marked-401st-month-global-tem/,Mostly True,say 2018 mark 401st straight month global temperature exceed 20th century average,1
"States with voter ID laws have seen ""zero decrease"" in participation. ""Most have seen an increase.""",Tim Moore,/web/20180701030417/http://www.politifact.com/north-carolina/statements/2018/jun/20/tim-moore/states-voter-id-laws-have-seen-zero-decrease-turno/,Mostly False,state voter d law see zero decrease participation see increase ,0
"Says Sen. Tim Kaine ""approves of and even applauds his son's participation in a known terrorist organization, #Antifa.""",Corey  Stewart,/web/20180701030417/http://www.politifact.com/truth-o-meter/statements/2018/jun/20/corey-stewart/corey-stewarts-comments-sen-tim-kaine-and-antifa/,Mostly False,say sen tim kaine approve applaud son s participation know terrorist organization antifa ,0
"""39% of All California Students are illegals.""",Viral image,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/05/viral-image/no-39-california-students-arent-undocumented/,False, 39 california student illegal ,0
"""More than 66% of ALL births in California are to illegals on Medi-Cal.""",Viral image,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/05/viral-image/viral-image-overstates-births-undocumented-mothers/,False, 66 birth california illegal medi cal ,0
"""By law, Democrats gave the superintendent of public instruction, back in 2009, the ability to take over failing schools … The current superintendent has failed to do that.""",Scott Walker,/web/20180717183606/http://www.politifact.com/wisconsin/statements/2018/jul/05/scott-walker/gov-scott-walker-says-state-schools-chief-tony-eve/,False, law democrats give superintendent public instruction 2009 ability fail school … current superintendent fail ,0
"Says Sen. Bill Nelson ""voted for higher taxes"" 349 times.",Rick Scott,/web/20180717183606/http://www.politifact.com/florida/statements/2018/jul/05/rick-scott/did-sen-bill-nelson-vote-higher-taxes-349-no/,False,say sen bill nelson vote high taxis 349 time,0
"Sen. Kamala Harris is ""supporting the animals of MS-13.""",Donald Trump,/web/20180717183606/http://www.politifact.com/california/statements/2018/jul/03/donald-trump/pants-fire-white-house-claim-sen-harris-supporting/,Pants on Fire!,sen kamala harris support animal ms 13 ,0
"Says Ronald Reagan said immigrants ""brought with them courage and the values of family, work, and freedom. Let us pledge to each other that we can make America great again.""",Becoming American Initiative,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/03/becoming-american-initiative/did-ronald-reagan-say-immigrants-made-america-grea/,Mostly True,say ronald reagan say immigrant   bring courage value family work freedom let pledge america great ,1
"Says Democratic Senators ""demand Supreme Court nominee not be unduly influenced by U.S. Constitution.""",Viral image,/web/20180717183606/http://www.politifact.com/punditfact/statements/2018/jul/03/viral-image/viral-image-criticizing-democrats-featured-fabrica/,Pants on Fire!,say democratic senator demand supreme court nominee unduly influence u s constitution ,0
"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",Corey  Stewart,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/03/corey-stewart/corey-stewart-falsely-claims-sen-tim-kaine-wants-d/,Pants on Fire!, tim kaine want border want rid immigration custom enforcement basically border patrol ,0
"""George H.W. Bush has died at 94.""",Bloggers,/web/20180717183606/http://www.politifact.com/punditfact/statements/2018/jul/02/blog-posting/hoax-website-says-george-h-w-bush-died-he-didnt/,Pants on Fire!, george h w bush die 94 ,0
"""The deficit ... is coming down, and it’s coming down rapidly.""",Larry Kudlow,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/02/larry-kudlow/larry-kudlow-wrong-about-deficits-falling-rapidly-/,Pants on Fire!, deficit come come rapidly ,0
"""Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible.""",Donald Trump,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/02/donald-trump/donald-trump-base-describing-gdp-growth-his-watch/,False, watch gdp number start low number right hit 3 2 percent think possible ,0
"""The European Union … they send us Mercedes, they send us -- by the millions -- the BMWs -- cars by the millions.""",Donald Trump,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/02/donald-trump/donald-trump-wrong-mercedes-bmw-import-cars-us-mil/,False, european union … send mercede send million bmws car million ,0
"""Clinton campaign official arrested by FBI on child rape/trafficking charges""",Bloggers,/web/20180717183606/http://www.politifact.com/punditfact/statements/2018/jul/02/blog-posting/websites-wrongly-claim-man-arrested-child-sex-char/,False, clinton campaign official arrest fbi child rape trafficking charge,0
"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""",Jeff Sessions,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/02/jeff-sessions/jeff-sesssions-false-claim-80-percent-asylum-appli/,False, court find 80 percent file asylum qualified merit relief ,0
"Says a progressive income tax proposal from Democratic governor candidate J.B. Pritzker ""is wholly regressive.""",Evelyn Sanguinetti,/web/20180717183606/http://www.politifact.com/illinois/statements/2018/jul/02/evelyn-sanguinetti/illinois-lite-guv-calls-progressive-tax-idea-regre/,False,say progressive income tax proposal democratic governor candidate j b pritzker wholly regressive ,0
"Says Wisconsin ""hadn’t been won by a Republican since Dwight D. Eisenhower, in 1952. And I won Wisconsin. …  Ronald Reagan, remember, Wisconsin was the state that Ronald Reagan did not win.""",Donald Trump,/web/20180717183606/http://www.politifact.com/wisconsin/statements/2018/jun/29/donald-trump/president-trump-makes-some-interesting-claims-abou/,Pants on Fire!,say wisconsin win republican dwight d eisenhower 1952 win wisconsin …   ronald reagan remember wisconsin state ronald reagan win ,0
"""Maxine Waters Is Getting Criminally Charged!""",Bloggers,/web/20180717183606/http://www.politifact.com/punditfact/statements/2018/jun/29/blog-posting/loomer-maxine-waters-not-facing-criminal-charges/,False, maxine water getting criminally charge ,0
"Says Ron DeSantis ""voted in an agricultural bill to give food stamps to illegal immigrants.""",Adam Putnam,/web/20180717183606/http://www.politifact.com/florida/statements/2018/jun/29/adam-putnam/putnam-parrots-previous-absurd-claim-food-stamps-i/,Pants on Fire!,say ron desantis vote agricultural bill food stamp illegal immigrant ,0
"Says Adam Putnam ""endorsed the Schumer-Obama Gang of Eight immigration amnesty.""",Ron DeSantis,/web/20180717183606/http://www.politifact.com/florida/statements/2018/jun/29/ron-desantis/did-adam-putnam-endorse-gang-eight-immigration-amn/,Mostly True,say adam putnam endorse schumer obama gang immigration amnesty ,1
"Says Donald Trump ""has not apologized"" for comments caught on tape by ""Access Hollywood.""",Bernie Sanders,/web/20180106054644/http://www.politifact.com/truth-o-meter/statements/2017/dec/14/bernie-s/bernie-sanders-wrongly-says-donald-trump-never-apo/,False,say donald trump apologize comment catch tape access hollywood ,0
"""The candidates controlled by Madigan, all of them have said, ‘The answer to our problems is a massive income tax hike.’ """,Bruce Rauner,/web/20180106054644/http://www.politifact.com/illinois/statements/2017/dec/14/bruce-rauner/rauner-distorts-dems-message-illinois-income-tax/,Mostly False, candidate control madigan say ' answer problem massive income tax hike ' ,0
"""In Missouri, there are still (FEMA) cases pending from floods that occurred in 2013.""",Vicky Hartzler,/web/20180106054644/http://www.politifact.com/missouri/statements/2017/dec/13/vicky-hartzler/open-fema-case-remains-hartzler-exaggerates-amount/,Mostly True, missouri fema case pende flood occur 2013 ,1
"""Update: van full of illegals caught voting at multiple Alabama polling locations.""",nofakenews-online,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/13/nofakenews-online/no-undocumented-immigrants-were-not-caught-voting-/,Pants on Fire!, update van illegal catch vote multiple alabama polling location ,0
"""Under Trump’s new tax plan … 99.8% of Americans"" get ""not one nickel"" in tax cuts.",Kelda Helen Roys,/web/20180106054644/http://www.politifact.com/wisconsin/statements/2017/dec/13/kelda-helen-roys/claim-998-americans-wouldnt-get-tax-cut-under-gop-/,Pants on Fire!, trump new tax plan … 99 8 americans nickel tax cut,0
"""Even with full control of the House, Senate and White House, Republicans have still failed to deliver on their promise of higher wages for working families.""",Nancy  Pelosi,/web/20180106054644/http://www.politifact.com/truth-o-meter/statements/2017/dec/12/nancy-pelosi/have-wages-failed-go-donald-trumps-watch/,Mostly False, control house senate white house republicans fail deliver promise high wage work family ,0
"""Breaking: Trump fires deputy attorney general Rod Rosenstein, raising questions over Mueller’s fate.""",HoustonChronicle-tv.com,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/12/houstonchronicle-tvcom/no-trump-hasnt-fired-justice-departments-rod-rosen/,Pants on Fire!, break trump fire deputy attorney general rod rosenstein raise question mueller fate ,0
"A Colgate toothpaste is subject to ""recall.""",Shared This,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/12/shared/story-misleads-about-fd-triclosan-and-toothpaste/,False,colgate toothpaste subject recall ,0
"""Facebook picks sides in Alabama Senate race ... shuts down Gateway Pundit and Breitbart reports on discredited Allred accuser""",The Gateway Pundit,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/11/gateway-pundit/facebook-did-not-remove-gateway-pundit-report-afte/,False, facebook pick side alabama senate race shut gateway pundit breitbart report discredit allre accuser,0
"Says ""Obama’s deadliest cover-up (in an explosion that killed 29 miners) has been uncovered"" by internal government documents.",Don Blankenship,/web/20180106054644/http://www.politifact.com/truth-o-meter/statements/2017/dec/11/don-blankenship/convicted-w-va-mining-ceo-falsely-says-government-/,Pants on Fire!,say obama deadly cover explosion kill 29 miner uncover internal government document,0
"""Black homeownership just hit the highest level it has ever been in the history of our country.""",Donald Trump,/web/20180106054644/http://www.politifact.com/truth-o-meter/statements/2017/dec/11/donald-trump/donald-trump-wrong-black-homeownership-rate-record/,False, black homeownership hit high level history country ,0
"""Roy Moore’s accuser arrested and charged with falsification.""",Bloggers,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/11/blog-posting/fake-news-no-roy-moore-accuser-was-not-arrested-ly/,Pants on Fire!, roy moore accuser arrest charge falsification ,0
"""Breaking: woman says she was offered big money by Washington Post to accuse Roy Moore of misconduct.""",Evening World,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/11/evening-world/fake-news-about-washington-post-and-roy-moore-accu/,Pants on Fire!, break woman say offer big money washington post accuse roy moore misconduct ,0
"Says Russian President Vladimir Putin got a standing ovation from the Duma after he gave a speech saying Muslims are ""taking over"" other countries but won't take over Russia.",Chain email,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/11/chain-email/chain-email-putin-says-minorities-should-adopt-rus/,Pants on Fire!,say russian president vladimir putin   get   standing ovation   duma give speech say   muslim take country win t russia,0
"""I released way more (tax) information than Bruce Rauner has.""",JB Pritzker,/web/20180106054644/http://www.politifact.com/illinois/statements/2017/dec/11/jb-pritzker/no-jb-pritzker-did-not-release-more-tax-informatio/,False, release way tax information bruce rauner ,0
"""The FBI has become America's secret police …  like the old KGB.""",Gregg Jarrett,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/08/gregg-jarrett/has-fbi-become-americas-secret-police/,Pants on Fire!, fbi america s secret police   …   like old kgb ,0
"""Earlier this year, Hurricane Harvey left more than 12 million people in Texas and Louisiana without homes.""",Ryan Sitton,/web/20180106054644/http://www.politifact.com/texas/statements/2017/dec/08/ryan-sitton/ryan-sitton-errantly-says-12-million-people-left-w/,False, early year hurricane harvey leave 12 million people texas louisiana home ,0
"""Gloria Allred Accuser **ADMITS** She Tampered With Roy Moore’s Yearbook 'Signature.' """,Bloggers,/web/20180106054644/http://www.politifact.com/truth-o-meter/statements/2017/dec/08/blog-posting/no-roy-moore-accuser-didnt-tamper-or-forge-yearboo/,Pants on Fire!, gloria allre accuser admit tamper roy moore yearbook signature   ,0
"""Bill Clinton passed a law in 1996 that separated children from adults illegally entering America.""",Bloggers,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/21/blog-posting/no-bill-clinton-law-separating-families/,False, bill clinton pass law 1996 separate child adult illegally enter america ,0
"""Busted: Obama is holding secret meetings to overtake the White House""",Bloggers,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/21/blog-posting/-website-falsely-claims-obama-was-bust/,Mostly False, bust obama hold secret meeting overtake white house,0
"""There's been a 1,700 percent increase in asylum claims over the last 10 years.""",Donald Trump,/web/20180715231626/http://www.politifact.com/truth-o-meter/statements/2018/jun/21/donald-trump/1700-percent-increase-asylum-claims/,Mostly True, s 1 700 percent increase asylum claim 10 year ,1
"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",Troy LaRaviere,/web/20180715231626/http://www.politifact.com/illinois/statements/2018/jun/21/troy-laraviere/cps-most-understaffed-district-illinois/,True, emanuel cp understaffed school district illinois ,1
Says May 2018 marked the 401st straight month of global temperatures exceeding the 20th century average.,Jim Spencer,/web/20180715231626/http://www.politifact.com/texas/statements/2018/jun/20/jim-spencer/jim-spencer-may-2018-marked-401st-month-global-tem/,Mostly True,say 2018 mark 401st straight month global temperature exceed 20th century average,1
"States with voter ID laws have seen ""zero decrease"" in participation. ""Most have seen an increase.""",Tim Moore,/web/20180715231626/http://www.politifact.com/north-carolina/statements/2018/jun/20/tim-moore/states-voter-id-laws-have-seen-zero-decrease-turno/,Mostly False,state voter d law see zero decrease participation see increase ,0
"Says Sen. Tim Kaine ""approves of and even applauds his son's participation in a known terrorist organization, #Antifa.""",Corey  Stewart,/web/20180715231626/http://www.politifact.com/truth-o-meter/statements/2018/jun/20/corey-stewart/corey-stewarts-comments-sen-tim-kaine-and-antifa/,Mostly False,say sen tim kaine approve applaud son s participation know terrorist organization antifa ,0
"""I have always condemned … any of these white supremacists or bigots or anything like that.""",Corey  Stewart,/web/20180715231626/http://www.politifact.com/truth-o-meter/statements/2018/jun/20/corey-stewart/corey-stewarts-history-far-right-explained/,Mostly False, condemn … white supremacist bigot like ,0
"Says the ""Pope calls for world wide gun confiscation except for the UN""",Common Sense News,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/20/common-sense-news/fake-news-says-pope-called-world-wide-gun-confisca/,Pants on Fire!,say pope call world wide gun confiscation un,0
"The Trump administration’s policy of separating families is ""the same way Barack Obama did it.""",Matt  Schlapp,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/19/matt-schlapp/no-donald-trumps-separation-immigrant-families-was/,False,trump administration policy separate family way barack obama ,0
"""There’s actually a court order that prevents keeping the kids with the parents when you put the parents in jail.""",Ted Cruz,/web/20180715231626/http://www.politifact.com/texas/statements/2018/jun/18/ted-cruz/ted-cruz-says-child-parent-separations-border-tied/,Mostly False, actually court order prevent keep kid parent parent jail ,0
"""Crime in Germany is way up.""",Donald Trump,/web/20180715231626/http://www.politifact.com/truth-o-meter/statements/2018/jun/18/donald-trump/donald-trump-wrong-about-crime-germany/,False, crime germany way ,0
"""Senate report admits Clinton ‘gifted’ children to human traffickers""",YourNewsWire.com,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/18/yournewswirecom/false-headline-wrongly-links-hillary-clinton-forme/,False, senate report admit clinton ' gifted ' child human trafficker,0
"""Trump approval rating better than Obama and Reagan at same point in their presidencies.""",The Gateway Pundit,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/18/gateway-pundit/headline-says-trump-tied-obama-same-point-presiden/,Mostly True, trump approval rating well obama reagan point presidency ,1
"Says ""massive floods"" led to Legionnaires’ disease outbreaks at the Quincy Veterans’ Home.",Bruce Rauner,/web/20180715231626/http://www.politifact.com/illinois/statements/2018/jun/18/bruce-rauner/rauners-legionnaires-claim-misses-mark-and-point/,False,say massive flood lead legionnaire ’ disease outbreak quincy veteran ’ home,0
"""Of all the 62 counties in New York state, all of them, unemployment is going up except for the five counties of New York City.""",Edward Cox,/web/20180213195651/http://www.politifact.com/new-york/statements/2018/jan/17/edward-cox/unemployment-inching-almost-every-county-outside-n/,Mostly True, 62 county new york state unemployment go county new york city ,1
"""The graduation rate in New York City has increased by 50 percent in 13 years""",Bill de Blasio,/web/20180213195651/http://www.politifact.com/new-york/statements/2018/jan/17/bill-de-blasio/how-much-has-graduation-rate-increased-nyc-start-m/,True, graduation rate new york city increase 50 percent 13 year,1
"""First indictment issued in Russian bribery case tied to Obama-era Uranium One deal.""",Republican News,/web/20180213195651/http://www.politifact.com/punditfact/statements/2018/jan/17/republican-news/no-uranium-one-investigation-has-not-led-indictmen/,False, indictment issue russian bribery case tie obama era uranium deal ,0
"Conservative groups have spent $5 million ""against"" Tammy Baldwin -- five times more than against all other Democratic U.S. Senate incumbents up for election in 2018 combined.",Martha Laning,/web/20180213195651/http://www.politifact.com/wisconsin/statements/2018/jan/17/martha-laning/millions-more-spent-defeat-tammy-baldwin-all-other/,Mostly True,conservative group spend 5 million tammy baldwin time democratic u s senate incumbent election 2018 combine,1
"""Oprah tells Fox News host ‘all white people have to die.’""",AmericanNews.com,/web/20180213195651/http://www.politifact.com/punditfact/statements/2018/jan/16/americannewscom/oprahs-comments-about-race-2013-bbc-interview-dist/,False, oprah tell fox news host ' white people die ',0
"""Almost half of all vehicles stolen in Texas each year had keys left inside.""",Robert Chody,/web/20180213195651/http://www.politifact.com/texas/statements/2018/jan/12/robert-chody/nearly-half-texas-vehicle-thefts-keys-left-inside-/,False, half vehicle steal texas year key leave inside ,0
"Says the Obama administration ""sold perhaps the best located and finest embassy in London ... only to build a new one in an off location for 1.2 billion dollars.""",Donald Trump,/web/20180213195651/http://www.politifact.com/truth-o-meter/statements/2018/jan/12/donald-trump/trump-wrongly-faults-obama-london-embassy-move/,Mostly False,say obama administration sell well locate fine embassy london build new location 1 2 billion dollar ,0
"""Atlanta is on its strongest financial footing in 40 years.""",Keisha Lance Bottoms,/web/20180213195651/http://www.politifact.com/georgia/statements/2018/jan/12/keisha-lance-bottoms/atlantas-finances-best-40-years/,Mostly True, atlanta strong financial footing 40 year ,1
"In 2011 under Scott Walker, Wisconsin for the first time spent ""more on our prison system than we did"" on the University of Wisconsin System.",Kelda Helen Roys,/web/20180213195651/http://www.politifact.com/wisconsin/statements/2018/jan/12/kelda-helen-roys/ahead-2018-election-gov-scott-walker-attacked-spen/,Mostly True,2011 scott walker wisconsin time spend prison system university wisconsin system,1
"The White House staff risks violating federal ethics rules if they participate in Donald Trump’s ""fake news awards.""",Norm Eisen,/web/20180213195651/http://www.politifact.com/truth-o-meter/statements/2018/jan/11/norm-eisen/donald-trumps-fake-news-awards-could-land-white-ho/,True,white house staff risk violate federal ethic rule participate   donald trump fake news award ,1
"""A ‘gerrymander’ is by definition and common understanding, a strange looking ‘monster’ drawing. This map is clearly not that.""",Robin Hayes,/web/20180213195651/http://www.politifact.com/north-carolina/statements/2018/jan/10/robin-hayes/nc-gop-gerrymander-strange-looking-monster-drawing/,Mostly False, ' gerrymander ' definition common understanding strange look ' monster ' draw map clearly ,0
